536,99,3
315,99,4
671,99,20
3,99,23
443,99,27
674,99,31
523,99,33
62,99,35
742,99,38
469,99,42
29,98,7
855,98,10
729,98,12
164,98,16
368,98,16
722,98,21
23,98,28
758,98,29
527,98,30
426,98,34
31,98,40
329,98,44
75,98,45
242,97,6
37,97,8
893,97,8
908,97,8
658,97,13
824,97,17
624,97,23
339,96,0
706,96,1
488,96,15
174,96,17
967,96,17
26,96,22
316,96,22
328,96,23
295,96,27
388,96,29
462,96,30
790,96,30
789,96,38
479,95,2
713,95,6
720,95,10
578,95,20
991,95,21
945,95,25
615,95,32
109,95,36
897,95,37
778,95,41
837,95,43
198,95,45
955,94,0
748,94,14
749,94,14
943,94,19
173,94,26
745,94,33
905,94,37
50,94,39
586,93,1
476,93,2
540,93,12
768,93,13
929,93,17
988,93,18
307,93,36
675,93,43
924,93,45
474,92,3
743,92,8
444,92,16
628,92,18
931,92,18
448,92,19
597,92,23
313,92,27
510,92,32
337,92,33
360,92,38
262,92,42
285,91,1
520,91,5
338,91,15
72,91,26
753,91,26
657,91,34
233,91,35
668,91,37
45,91,39
311,91,45
600,90,1
17,90,9
294,90,9
810,90,9
342,90,11
430,90,11
903,90,11
159,90,14
531,90,22
211,90,28
411,90,33
24,90,34
757,89,0
78,89,4
981,89,7
478,89,8
818,89,10
169,89,16
581,89,17
552,89,18
645,89,27
484,89,30
676,89,33
960,89,36
129,89,37
182,88,2
698,88,3
938,88,7
160,88,10
544,88,11
626,88,30
828,88,33
996,88,34
300,88,35
132,88,37
928,88,37
276,88,39
442,88,40
165,87,0
237,87,8
367,87,10
28,87,11
317,87,19
138,87,20
392,87,23
524,87,25
665,87,25
400,87,38
816,87,39
466,87,43
167,87,45
815,86,7
458,86,9
244,86,16
567,86,20
74,86,32
377,86,32
343,86,34
872,86,39
319,86,40
434,86,42
100,86,43
340,86,45
187,85,7
389,85,12
596,85,15
209,85,18
86,85,19
508,85,20
119,85,21
43,85,25
839,85,25
304,85,26
257,85,27
140,85,31
959,85,34
682,85,36
747,85,45
451,84,5
738,84,9
204,84,16
107,84,26
633,84,43
591,84,45
128,83,5
860,83,5
141,83,15
172,83,17
349,83,33
836,83,39
605,83,42
91,82,8
754,82,12
910,82,24
59,82,25
656,82,36
495,82,43
351,82,44
514,81,6
166,81,8
324,81,11
180,81,18
913,81,18
608,81,22
228,81,26
563,81,27
980,81,33
651,81,39
977,81,41
419,80,8
111,80,9
406,80,13
889,80,27
772,80,28
436,80,29
614,80,29
678,80,29
196,80,34
819,80,38
791,79,2
112,79,6
814,79,6
47,79,7
551,79,15
